state,x,y
Andhra Pradesh,-74.0,-147.0
Arunachal Pradesh,313.0,108.0
Assam,263.0,67.0
Bihar,98.0,42.0
Chhattisgarh,0.0,-43.0
Delhi,-125.0,96.0
Goa,-220.0,-142.0
Gujarat,-285.0,-12.0
Haryana,-145,103
Himachal Pradesh,-125,153
Jharkhand,82.0,3.0
Jammu,-132.0,200.0
Kashmir,-185.0,185.0
Karnataka,-170.0,-156.0
Kerala,-152.0,-244.0
Madhya Pradesh,-107.0,-2.0
Maharashtra,-201.0,-84.0
Manipur,298.0,34.0
Meghalaya,233.0,49.0
Mizoram,276.0,6.0
Odisha,71.0,-50.0
Punjab,-169,138
Rajasthan,-225.0,77.0
Sikkim,155.0,77.0
Tamil Nadu,-97.0,-235.0
Telangana,-86.0,-100.0
Tripura,242.0,13.0
Uttar Pradesh,-28.0,62.0
Uttarakhand,-79,125
West Bengal,151.0,-9.0
